"Check","Compliance","Recommendation"
"Access Credential Manager as a trusted caller","Met","Ensure the policy is set to 'No One'."
"Access this computer from the network","Met","Ensure the policy is set to 'Administrators, Remote Desktop Users'."
"Act as part of the operating system","Met","Ensure the policy is set to 'No One'."
"Allow log on locally","Met","Ensure the policy is set to 'Administrators, Users'."
"Allow log on through Remote Desktop Services","Met","Ensure the policy is set to 'Administrators, Remote Desktop Users'."
"Adjust memory quotas for a process","Met","Ensure the policy is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE'."
"Back up files and directories","Met","Ensure the policy is set to 'Administrators'."
"Change the system time","Met","Ensure the policy is set to 'Administrators, LOCAL SERVICE'."
"Change the time zone","Met","Ensure the policy is set to 'Administrators, LOCAL SERVICE, Users'."
"Create a pagefile","Met","Ensure the policy is set to 'Administrators'."
"Create a token object","Met","Ensure the policy is set to 'No One'."
"Create global objects","Met","Ensure the policy is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'."
"Create permanent shared objects","Met","Ensure the policy is set to 'No One'."
"Create symbolic links","Met","Ensure the policy is set to 'Administrators'."
